video_id,title,title_len,desc_len,emoji_count,tag_count,published_hour,views,likes,comments,view_like_ratio,channel_subs,has_caption,definition,topic_categories,url
-ASfrGnOq_w,Everybody likes a good fried pork chop🔥 #foodie #foodforfoodies #food #youtubeshorts #trending #fyp,99,0,7,0,14,29303,477,14,1.63,1870,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/-ASfrGnOq_w
S9UssRoydQ4,🔥Yummy French Toast#celebrity recipe#podcast#foodie#1million#Kareena Kapoor#Shilpa Shetty,89,866,7,0,5,30127,0,0,0.0,89300,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/S9UssRoydQ4
kLTn0lnNncs,tacos de birria #shorts #viralshorts #video #food #foodie,57,125,5,7,1,30895,266,6,0.86,37500,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/kLTn0lnNncs
i2uPdDGb7kQ,Vip combo ₹42 at all Geetham restaurants!!  #food #couplevlog #foodie #minitiffin #chennai,90,124,8,0,6,208970,1717,15,0.82,7740,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/i2uPdDGb7kQ
bkJBh0FlVl0,Barbecue Brisket Baked Potato Fried Roll! #shorts #food #foodie,63,0,4,0,1,212326,4076,64,1.92,179000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/bkJBh0FlVl0
BmhtYB4Nvv0,National uzbek plov  #food #homecuisine #streetfood #meatmarket #foodie #meat #meatfood,87,624,7,22,0,371363,969,55,0.26,1490,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/BmhtYB4Nvv0
zYcbWrjdArM,CHARSADDA UNIQUE CHAWAL!😱Charsadda Famous Mota Chawal | Shola Chawal | RAJAR MOTA CHAWAL #foodie,96,612,5,16,3,45008,225,1,0.5,53600,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/zYcbWrjdArM
bf57scME0zM,🇯🇲JAMAICA COUNTRY STYLE COOKING #viral  #trending #foodie #fyp #shorts #travel #vlogvideo,89,0,9,0,0,94302,787,62,0.83,16400,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/bf57scME0zM
RsnEuCDUDQU,Manoj bhai ने जयपुर से मंगवाई कँचोरी😍 #food #foodie #streetfood #jaipur #shorts,79,79,14,0,18,24806,935,1,3.77,34100,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/RsnEuCDUDQU
vSgquu69ahE,Best tacos ever #food #chinesefood #foodie,42,0,3,0,5,22641,326,0,1.44,82100,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/vSgquu69ahE
6m-6x_tifUc,I wanted to eat fried eggs at my mom's | Amazing yummy eggs 🥚🥚 #egg #foodie,75,125,6,4,12,1572631,6703,3,0.43,2750000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/6m-6x_tifUc
T31aFdnhr2M,Fresh never frozen crab bayridge_fishbar 7608 3rd ave Brooklyn ny 11209  #foodie #shorts,88,0,2,0,17,289115,4600,96,1.59,2430000,0,hd,"Food,Lifestyle,Pet",https://www.youtube.com/shorts/T31aFdnhr2M
HkhoqYy8ti8,Jalebi ras #funny #shorts #food #foodie #foodlover #viral,57,216,6,0,1,179150,503,0,0.28,1290,0,hd,Entertainment,https://www.youtube.com/shorts/HkhoqYy8ti8
iBlCXqSvjzg,"[ASMR] spicy noodles, dumplings, mushroom, rice cake #mukbang #food #foodie #eating #delicious #asmr",100,123,8,0,4,26242,1220,12,4.65,1470,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/iBlCXqSvjzg
ZVAu3_Ftc84,Making Of Paav 😱 #streetfood #food #foodie #shortsfeed,54,612,5,0,14,17550,78,0,0.44,44400,0,hd,"Food,Hobby,Lifestyle",https://www.youtube.com/shorts/ZVAu3_Ftc84
moZdnBSos8w,Jelebi wala Helicopter 🔥😱#funny #shorts #food#foodie #foodlover #viral,70,216,8,11,1,198911,1479,12,0.74,60300,0,hd,"Entertainment,Film",https://www.youtube.com/shorts/moZdnBSos8w
iRMzSa2On8w,Simple mutton recipe#food #foodie #cook #cooking #lovetocook #foodblogger,73,0,6,0,11,106079,9403,78,8.86,166000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/iRMzSa2On8w
XOu6CDaGRaU,Every Foodie Can Relate 😂🍕 #shorts #viralshorts #comedyshorts #foodie,69,0,6,0,12,31309,202,6,0.65,26000,0,hd,Entertainment,https://www.youtube.com/shorts/XOu6CDaGRaU
qEQ3T-3WKXM,#food #mukbang #eating #eatingsounds #foodie #funny,51,51,6,0,8,33406,98,0,0.29,1810,0,hd,"Entertainment,Food",https://www.youtube.com/shorts/qEQ3T-3WKXM
MZh1Kr-nK2w,Soya chunks Momos Bulk Making🥵😋 #foodblogger #foodforfoodies #indianstreetfood #indianfood #foodie,98,0,7,0,5,114934,2397,1,2.09,2110000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/MZh1Kr-nK2w
d30rVFBJoMA,Gulab jamun wala Helicopter 🔥#funny #shorts #food#foodie #foodlover #viral,74,216,7,12,11,13823883,53835,47,0.39,60300,0,hd,"Entertainment,Food",https://www.youtube.com/shorts/d30rVFBJoMA
GCBl4FtbOxs,"Fusion Fruit Pop - Kanimangalam padam, Thrissur #food #foodie #trending",71,34,4,11,15,9999,602,20,6.02,39300,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/GCBl4FtbOxs
JnYdjQ3dEUo,Dragon popcorn #greatindianthali #food #streetfood #specialthali #indianthaali #thali #foodie,93,186,7,0,12,18257,332,0,1.82,312000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/JnYdjQ3dEUo
Tc0ry7HB-6Q,‎Spicy & Delicious Korean breakfast recipes 🍗 #yummyrecipe #asmr #asmrfood #shorts #foodie  #cooking,100,0,9,0,13,10504,1630,5,15.52,8200,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/Tc0ry7HB-6Q
ALcQdedjFYU,Cheeza Burger 😳 #youtubeshorts #foodshorts #food #trendingshorts #viral #foodie,79,0,7,0,19,30561,96,1,0.31,107000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/ALcQdedjFYU
AIXnja8Khcc,Mummy very hungry Mukbang  #asmr #shorts #trending  #Foodie Mummy ASMR,70,70,4,5,12,17031,54,0,0.32,206,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/AIXnja8Khcc
UW7_IEHFBDw,Paneer momos Bna diye 😍🤪🤩 #food #cooking #lifestyle #foodie #streetfood #dailyvlog #shorts,90,130,10,0,14,329645,10281,58,3.12,250000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/UW7_IEHFBDw
pqxO2vYkvgA,Affordable Expensive #youtubeshorts #shortsfeed #food #foodie #tasty #entertainment #shorts,91,23,7,5,12,1987008,90798,87,4.57,1540000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/pqxO2vYkvgA
y1AO_MCUc0M,ചട്നി ഇങ്ങനെ ആയാലോ #shorts #shortfeed #youtubeshorts #chutneyrecipe #foodie #viralrecipe #trending,98,320,13,26,10,52546,306,6,0.58,10500,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/y1AO_MCUc0M
nRphWfGykbQ,Sunday Lunch - Homemade Philly Cheese Steak with Wings #cooking #foodie #healthyfood #easyrecipe,96,2258,5,30,18,55558,3038,57,5.47,46400,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/nRphWfGykbQ
MyjO25VfExM,sing if you would eat it: picky eater edition #foodie #food #viral #youtubeshorts #bigback #fypviral,100,0,7,0,1,16246,467,48,2.87,17100,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/MyjO25VfExM
yY8ucKtiOkM,Pizza Hut Ka expensive pizza #foodie #foodblogger #foodreview #subscribe,72,0,4,0,12,129004,9668,17,7.49,288000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/yY8ucKtiOkM
IhaizFT3iGI,Amazing Pineapple Cutting Skills 😱🍍#streetfood #pineapple #shotrs #foodie #indianfood #fruits,93,545,8,13,18,10040,40,1,0.4,98200,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/IhaizFT3iGI
QEaUvr3rgSE,Police Vs Puri #funny #shorts #food #foodie #foodlover #viral,61,61,6,0,1,103542,346,1,0.33,5010000,0,hd,"Entertainment,Film",https://www.youtube.com/shorts/QEaUvr3rgSE
U0fPRy96pkI,Eating with strangers😱😋🔥#foodie #shorts #series #foodshorts #telugu,67,169,8,31,7,353444,5427,18,1.54,32700,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/U0fPRy96pkI
-_eVuJ6DGds,#food #mukbang #eating #eatingsounds #foodie #shorts,52,52,6,0,10,8650,41,0,0.47,3420,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/-_eVuJ6DGds
nhgXVbBBWuE,Agra ki famous patties #trending #streetfood #food #foodie #foodblogger #foodshorts #trendingshorts,99,99,7,0,8,23918,0,1,0.0,69900,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/nhgXVbBBWuE
QOr-dcKYjDc,We are open #joeymerlino #podcast #foodie #philly #snuff #skinnyjoeyscheesesteaks,81,0,6,0,15,9587,317,17,3.31,91100,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/QOr-dcKYjDc
