video_id,title,description,published_at,channel_id,channel_title,category_id,category_name,tags,tag_count,duration_sec,definition,caption,licensed_content,view_count,like_count,comment_count,default_audio_lang,music_info,url,subscriber_count,made_for_kids,views_per_hour,publish_day_of_week
nOQIkDSqYsM,Dubai chocolate food #mukbang #food #crushingtime #mukbangfood #stitchtricks,,2026-01-28T23:34:49Z,UCOA2GO5uirHX3QO9WYCJ11A,Dream Drift Story,28,Science & Technology,,0,10.0,hd,False,True,10811,105,0,en,None detected,https://www.youtube.com/shorts/nOQIkDSqYsM,19300,0,162.32,Wednesday
_akmQ3xZpds,One job challenge #foodreview #candy #mukbang #food #challenge #crushingtime #mukbangfood,,2026-01-28T23:33:54Z,UCOA2GO5uirHX3QO9WYCJ11A,Dream Drift Story,28,Science & Technology,,0,10.0,hd,False,True,10798,84,0,en,None detected,https://www.youtube.com/shorts/_akmQ3xZpds,19300,0,162.09,Wednesday
NRU4bVlGk3M,Trying 7 kinds of Asian ice creams… the mochi ice cream was my favorite #food #eating #mukbang,Trying 7 kinds of Asian ice creams… the mochi ice cream was my favorite #food #eating #mukbang #icecream #dessert,2026-01-28T23:28:58Z,UCV_bAXpZqUzZ6SYfOUfwe9w,Kim&Liz Too,24,Entertainment,Food|Eating|Mukbang|Ice cream|Mochi|Dessert,6,57.0,hd,False,True,426510,15263,501,en-US,None detected,https://www.youtube.com/shorts/NRU4bVlGk3M,4450000,0,6394.32,Wednesday
W-BWKRqrsyY,Red spicy chips #cheetos #takis #challenge #food #stitch #stitchtricks #foodchallenge,,2026-01-28T23:19:22Z,UC_QxQx9mi4JW1DWmj_7nk7Q,ShortFuse Reacts,22,People & Blogs,,0,10.0,hd,False,False,10351,41,2,en,None detected,https://www.youtube.com/shorts/W-BWKRqrsyY,11900,0,154.81,Wednesday
P6OTjfGgzJc,Sweets Platter…! #sweet #food #eating,,2026-01-28T23:18:56Z,UC8um3_RSJ0VKUchfpQs0IHA,Vovik & Anya ,22,People & Blogs,,0,17.0,hd,False,False,10561,46,0,en,None detected,https://www.youtube.com/shorts/P6OTjfGgzJc,46,0,157.94,Wednesday
IG45r11fj_w,Red M&M chocolate #challenge #food #mukbang #chocolate #stitch #stitchtricks,,2026-01-28T23:17:28Z,UC_QxQx9mi4JW1DWmj_7nk7Q,ShortFuse Reacts,22,People & Blogs,,0,10.0,hd,False,False,20652,106,0,en,None detected,https://www.youtube.com/shorts/IG45r11fj_w,11900,0,308.73,Wednesday
RqownjhwGJU,Would you pay $35 for the best sandwich in NYC? #food #sandwich,,2026-01-28T23:10:13Z,UCBE62J2bERzD6diDF7Xd3NQ,Foodie Foods,22,People & Blogs,,0,19.0,hd,False,False,21617,394,24,en,None detected,https://www.youtube.com/shorts/RqownjhwGJU,11400,0,322.57,Wednesday
G8c9uCa6a-w,WoW-Thai Street Food,"#thaistreetfood #pattaya #thailand 

🏡 shop name 
 Chicken mortar pattaya

🍛 menu
 spicy soup with chicken giblets

📍map
https://maps.app.goo.gl/qWVEfMYfyYT1hyvR8?g_st=ic

Support this channel 

🎁 https://www.paypal.com/paypalme/precenapakon
🎁 buymeacoffee.com/precenapac3
Thank you for your watching  please like & subscribe 😍😍😍",2026-01-28T23:00:31Z,UC0HBchGUTmddApy4rN2KCDg,Noona sorprece Kaiyokkrok,22,People & Blogs,,0,39.0,hd,False,True,24169,708,4,en,None detected,https://www.youtube.com/shorts/G8c9uCa6a-w,65900,0,359.79,Wednesday
DuBjumAVNpk,PEPPERONI PIZZA #pizza #pizzalover #asmrfood #food #shortvideo #asmr #shorts,PEPPERONI PIZZA#pizza #pizzalover #shorts #shortvideo #asmr #asmrfood,2026-01-28T23:00:30Z,UCKrAra786-w6WiYqacJ9INA,“Kitchen Flow”,22,People & Blogs,,0,18.0,hd,False,False,5710,28,1,en,None detected,https://www.youtube.com/shorts/DuBjumAVNpk,232,0,85.0,Wednesday
VSCJnqWRXi8,I tried Oyster 🦪 for first time!🫣😬 #singapore #food #seafood #foodie #oysters,,2026-01-28T22:58:19Z,UCskauWSSHT2iXLaHWN9kPwg,I’m Nilofer,22,People & Blogs,,0,27.0,hd,False,False,7338,41,2,en,None detected,https://www.youtube.com/shorts/VSCJnqWRXi8,459,0,109.18,Wednesday
3YZuj8wdouY,The best vs worst foods if your over 40 #health #nutrition #healthtips #explore #shorts #healthyfood,,2026-01-28T22:46:24Z,UC7-7x0eUWpBRewDJWiIYpjQ,5 Minute Fitness Play,24,Entertainment,,0,18.0,hd,False,True,34642,567,2,en-US,None detected,https://www.youtube.com/shorts/3YZuj8wdouY,585000,0,513.89,Wednesday
xPUPunUPTZE,This Bear Raised His Hand for Food 🐻✋ #shorts,This Bear Raised His Hand for Food,2026-01-28T22:38:02Z,UCmLthSK3e2WWTDU8u1foSlw,Infi's Diary,22,People & Blogs,,0,19.0,hd,False,True,576529,12747,94,en,None detected,https://www.youtube.com/shorts/xPUPunUPTZE,1880000,0,8534.81,Wednesday
HLTW-C_uZ5E,Trying Strangers Favorite Mexican Food in the Bay,,2026-01-28T22:05:47Z,UCAkK6PS2r3jQsTN5CeLho2g,Cody Shorts,22,People & Blogs,,0,56.0,hd,False,True,20811,1564,6,en,None detected,https://www.youtube.com/shorts/HLTW-C_uZ5E,1530000,0,305.65,Wednesday
